filename,t_score,p_value,stat_signif,classifier_mean,majority_class_mean,classifier_std_error,majority_class_std_error,classifier_CI_str,majority_class_CI_str,components,F,T,GROUP,K
F=chi-test_T=log_range_GROUP=70_K=1000,-0.0515071820650104,0.9590983638634718,0,0.2086921578994784,0.2087539327294773,0.0046426619953129,0.0046474155002451,"[0.1996, 0.2178]","[0.1996, 0.2179]","['F=chi-test', 'T=log', 'range', 'GROUP=70', 'K=1000']",chi-test,log,70,1000
F=chi-test_T=log_range_GROUP=70_K=5,-36.72572625894732,2.684625658170752e-38,-1,0.1598129036771464,0.2080972793812209,0.0040294366040938,0.0059681661674943,"[0.1519, 0.1677]","[0.1964, 0.2198]","['F=chi-test', 'T=log', 'range', 'GROUP=70', 'K=5']",chi-test,log,70,5
F=chi-test_T=log_range_GROUP=75_K=100,-8.29834152074974,3.098971911850441e-11,-1,0.1898317045378419,0.1983168573790432,0.0044413994508621,0.0034117279557573,"[0.1811, 0.1985]","[0.1916, 0.2050]","['F=chi-test', 'T=log', 'range', 'GROUP=75', 'K=100']",chi-test,log,75,100
F=chi-test_T=log_range_GROUP=75_K=1000,-0.0571232229411267,0.9546434575835824,0,0.1980280505604952,0.1980896381647467,0.0042173292111001,0.0041335922776439,"[0.1898, 0.2063]","[0.1900, 0.2062]","['F=chi-test', 'T=log', 'range', 'GROUP=75', 'K=1000']",chi-test,log,75,1000
F=chi-test_T=log_range_GROUP=75_K=5,-51.330334546633296,8.471674404325459e-50,-1,0.1528086374520457,0.1976177831702051,0.003239557299847,0.0035166541606281,"[0.1465, 0.1592]","[0.1907, 0.2045]","['F=chi-test', 'T=log', 'range', 'GROUP=75', 'K=5']",chi-test,log,75,5
F=chi-test_T=log_range_GROUP=80_K=100,-8.031114039781247,6.76045111735562e-11,-1,0.1763054041593424,0.1866011822826759,0.0044900671640569,0.0053985148504673,"[0.1675, 0.1851]","[0.1760, 0.1972]","['F=chi-test', 'T=log', 'range', 'GROUP=80', 'K=100']",chi-test,log,80,100
F=chi-test_T=log_range_GROUP=80_K=1000,-0.0854455520611221,0.932201592842272,0,0.1876593909988779,0.1877565364700425,0.0043554283445409,0.0044506658649541,"[0.1791, 0.1962]","[0.1790, 0.1965]","['F=chi-test', 'T=log', 'range', 'GROUP=80', 'K=1000']",chi-test,log,80,1000
F=chi-test_T=log_range_GROUP=80_K=5,-37.06336510203656,5.60280751495996e-42,-1,0.1434981479364823,0.1866647765352683,0.0043738186680744,0.0046436483899258,"[0.1349, 0.1521]","[0.1776, 0.1958]","['F=chi-test', 'T=log', 'range', 'GROUP=80', 'K=5']",chi-test,log,80,5
F=chi-test_T=log_range_GROUP=85_K=100,-8.47441287503969,1.082469850545356e-11,-1,0.1697898525949058,0.1794898309022251,0.0046721012509493,0.0041804407110423,"[0.1606, 0.1789]","[0.1713, 0.1877]","['F=chi-test', 'T=log', 'range', 'GROUP=85', 'K=100']",chi-test,log,85,100
F=chi-test_T=log_range_GROUP=85_K=1000,-0.4066752253243331,0.6857532072461042,0,0.1781709777238637,0.178566119621422,0.003913094131422,0.0036069683076491,"[0.1705, 0.1858]","[0.1715, 0.1856]","['F=chi-test', 'T=log', 'range', 'GROUP=85', 'K=1000']",chi-test,log,85,1000
